시간,로봇,목적지,내용,결과,소요시간,요청
2026-08-19 13:53:47,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:53:19,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,23초,로컬 디스플레이
2026-08-19 13:52:52,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:52:24,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,23초,로컬 디스플레이
2026-08-19 13:51:58,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:51:30,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:51:04,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:50:37,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:50:10,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:49:42,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-19 13:49:16,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:48:50,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:48:24,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:47:59,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:47:32,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:47:06,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:46:39,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:46:14,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:45:47,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:45:22,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:44:56,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:44:29,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:44:02,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:43:35,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:43:09,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:42:43,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:42:16,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:41:48,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,23초,로컬 디스플레이
2026-08-19 13:41:22,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:40:57,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,19초,로컬 디스플레이
2026-08-19 13:40:30,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:40:04,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:39:38,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:39:08,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 13:38:41,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:38:13,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-19 13:37:47,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:37:18,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,23초,로컬 디스플레이
2026-08-19 13:36:52,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:36:26,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:36:00,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:35:33,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:35:06,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:34:40,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:34:14,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:33:47,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-19 13:33:21,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:32:52,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 13:32:26,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:32:00,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:31:34,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:31:05,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,23초,로컬 디스플레이
2026-08-19 13:30:38,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:30:13,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,19초,로컬 디스플레이
2026-08-19 13:29:46,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:29:20,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:28:54,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:28:29,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:28:03,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:27:36,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-19 13:27:11,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:26:44,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:26:15,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 13:25:50,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:25:24,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:24:57,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-19 13:24:31,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:24:04,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-19 13:23:38,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:23:12,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:22:46,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:22:19,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:21:52,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:21:23,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,23초,로컬 디스플레이
2026-08-19 13:20:57,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:20:30,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:20:04,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:19:37,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-19 13:19:11,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:18:46,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,19초,로컬 디스플레이
2026-08-19 13:18:20,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:17:55,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:17:28,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:17:02,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:16:36,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 13:16:11,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:15:45,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 13:15:18,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 14:55:17,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,19초,로컬 디스플레이
2026-08-19 14:55:41,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:56:07,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 14:56:37,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:57:03,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:57:29,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:57:55,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 14:58:25,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:58:51,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 14:59:21,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:59:47,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,25초,로컬 디스플레이
