Timestamp,Topic,Data
2026-08-21 10:33:15.620,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001930, cov_yy:0.002040"
2026-08-21 10:33:15.620,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.620,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.620,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.620,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.620,rated_current_left,"0.000000"
2026-08-21 10:33:15.620,rated_current_right,"0.000000"
2026-08-21 10:33:15.720,battery/status,"100.000000%"
2026-08-21 10:33:15.720,robot_status,"ROBOT_STANDBY"
2026-08-21 10:33:15.721,particle_cloud,"count:800, spread:0.248744"
2026-08-21 10:33:15.721,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001907, cov_yy:0.002014"
2026-08-21 10:33:15.721,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.721,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.721,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.721,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.721,rated_current_left,"0.000000"
2026-08-21 10:33:15.721,rated_current_right,"0.000000"
2026-08-21 10:33:15.822,battery/status,"100.000000%"
2026-08-21 10:33:15.822,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001925, cov_yy:0.002034"
2026-08-21 10:33:15.822,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.822,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.822,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.822,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.822,rated_current_left,"0.000000"
2026-08-21 10:33:15.822,rated_current_right,"0.000000"
2026-08-21 10:33:15.922,battery/status,"100.000000%"
2026-08-21 10:33:15.923,particle_cloud,"count:800, spread:0.238243"
2026-08-21 10:33:15.923,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001919, cov_yy:0.002028"
2026-08-21 10:33:15.923,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.923,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.923,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.923,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.923,rated_current_left,"0.000000"
2026-08-21 10:33:15.923,rated_current_right,"0.000000"
2026-08-21 10:33:16.024,battery/status,"100.000000%"
2026-08-21 10:33:16.024,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001922, cov_yy:0.002031"
2026-08-21 10:33:16.024,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.024,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.024,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.024,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.024,rated_current_left,"0.000000"
2026-08-21 10:33:16.024,rated_current_right,"0.000000"
2026-08-21 10:33:16.125,battery/status,"100.000000%"
2026-08-21 10:33:16.126,particle_cloud,"count:800, spread:0.252630"
2026-08-21 10:33:16.126,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001934, cov_yy:0.002044"
2026-08-21 10:33:16.126,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.126,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.126,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.126,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.126,rated_current_left,"0.000000"
2026-08-21 10:33:16.126,rated_current_right,"0.000000"
2026-08-21 10:33:16.227,battery/status,"100.000000%"
2026-08-21 10:33:16.227,robot_status,"ROBOT_STANDBY"
2026-08-21 10:33:16.227,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001936, cov_yy:0.002046"
2026-08-21 10:33:16.227,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.227,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.227,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.227,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.227,rated_current_left,"0.000000"
2026-08-21 10:33:16.227,rated_current_right,"0.000000"
2026-08-21 10:33:16.329,battery/status,"100.000000%"
2026-08-21 10:33:16.329,particle_cloud,"count:800, spread:0.250653"
2026-08-21 10:33:16.329,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001966, cov_yy:0.002079"
2026-08-21 10:33:16.329,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.329,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.329,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.329,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.329,rated_current_left,"0.000000"
2026-08-21 10:33:16.329,rated_current_right,"0.000000"
2026-08-21 10:33:16.430,battery/status,"100.000000%"
2026-08-21 10:33:16.430,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001933, cov_yy:0.002043"
2026-08-21 10:33:16.430,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.430,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.430,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.430,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.430,rated_current_left,"0.000000"
2026-08-21 10:33:16.430,rated_current_right,"0.000000"
2026-08-21 10:33:16.531,battery/status,"100.000000%"
2026-08-21 10:33:16.531,particle_cloud,"count:800, spread:0.244308"
2026-08-21 10:33:16.531,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001934, cov_yy:0.002044"
2026-08-21 10:33:16.531,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.531,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.531,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.531,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.531,rated_current_left,"0.000000"
2026-08-21 10:33:16.531,rated_current_right,"0.000000"
2026-08-21 10:33:16.632,battery/status,"100.000000%"
2026-08-21 10:33:16.632,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001937, cov_yy:0.002048"
2026-08-21 10:33:16.632,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.632,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.632,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.632,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.632,rated_current_left,"0.000000"
2026-08-21 10:33:16.632,rated_current_right,"0.000000"
2026-08-21 10:33:16.733,battery/status,"100.000000%"
2026-08-21 10:33:16.733,robot_status,"ROBOT_STANDBY"
2026-08-21 10:33:16.734,particle_cloud,"count:800, spread:0.246969"
2026-08-21 10:33:16.734,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001926, cov_yy:0.002035"
2026-08-21 10:33:16.734,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.734,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.734,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.734,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.734,rated_current_left,"0.000000"
2026-08-21 10:33:16.734,rated_current_right,"0.000000"
2026-08-21 10:33:16.836,battery/status,"100.000000%"
2026-08-21 10:33:16.836,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001925, cov_yy:0.002035"
2026-08-21 10:33:16.836,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.836,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.836,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.836,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.836,rated_current_left,"0.000000"
2026-08-21 10:33:16.836,rated_current_right,"0.000000"
2026-08-21 10:33:16.937,battery/status,"100.000000%"
2026-08-21 10:33:16.937,particle_cloud,"count:800, spread:0.247747"
2026-08-21 10:33:16.937,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001937, cov_yy:0.002047"
2026-08-21 10:33:16.937,safety/left_bumper,"FALSE"
2026-08-21 10:33:16.937,safety/right_bumper,"FALSE"
2026-08-21 10:33:16.937,safety/emergency_button,"FALSE"
2026-08-21 10:33:16.937,safety/suction_switch,"FALSE"
2026-08-21 10:33:16.937,rated_current_left,"0.000000"
2026-08-21 10:33:16.937,rated_current_right,"0.000000"
2026-08-21 10:33:17.041,battery/status,"100.000000%"
2026-08-21 10:33:17.041,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001923, cov_yy:0.002032"
2026-08-21 10:33:17.041,safety/left_bumper,"FALSE"
2026-08-21 10:33:17.041,safety/right_bumper,"FALSE"
2026-08-21 10:33:17.041,safety/emergency_button,"FALSE"
2026-08-21 10:33:17.041,safety/suction_switch,"FALSE"
2026-08-21 10:33:17.041,rated_current_left,"0.000000"
2026-08-21 10:33:17.041,rated_current_right,"0.000000"
2026-08-21 10:33:17.142,battery/status,"100.000000%"
2026-08-21 10:33:17.142,particle_cloud,"count:800, spread:0.249187"
2026-08-21 10:33:17.142,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001932, cov_yy:0.002042"
2026-08-21 10:33:17.142,safety/left_bumper,"FALSE"
2026-08-21 10:33:17.142,safety/right_bumper,"FALSE"
2026-08-21 10:33:17.142,safety/emergency_button,"FALSE"
2026-08-21 10:33:17.143,safety/suction_switch,"FALSE"
2026-08-21 10:33:17.143,rated_current_left,"0.000000"
2026-08-21 10:33:17.143,rated_current_right,"0.000000"
2026-08-21 10:33:17.243,battery/status,"100.000000%"
2026-08-21 10:33:17.243,robot_status,"ROBOT_STANDBY"
2026-08-21 10:33:17.243,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001930, cov_yy:0.002039"
2026-08-21 10:33:17.243,safety/left_bumper,"FALSE"
